league,id,team,code,city,stadium,coach,owner,established,logo
NCAAF,316,Lindenwood,,,,,,,https://media.api-sports.io/american-football/teams/316.png
NCAAF,319,Chadron State,,,,,,,https://media.api-sports.io/american-football/teams/319.png
NCAAF,320,Tuskegee,,,,,,,https://media.api-sports.io/american-football/teams/320.png
NCAAF,321,Harvard,,,,,,,https://media.api-sports.io/american-football/teams/321.png
NCAAF,323,Princeton,,,,,,,https://media.api-sports.io/american-football/teams/323.png
NCAAF,324,Pennsylvania,,,,,,,https://media.api-sports.io/american-football/teams/324.png
NCAAF,325,Kentucky State,,,,,,,https://media.api-sports.io/american-football/teams/325.png
NCAAF,326,Cornell,,,,,,,https://media.api-sports.io/american-football/teams/326.png
NCAAF,327,Dartmouth,,,,,,,https://media.api-sports.io/american-football/teams/327.png
NCAAF,328,Yale,,,,,,,https://media.api-sports.io/american-football/teams/328.png
NCAAF,329,Morehouse College,,,,,,,https://media.api-sports.io/american-football/teams/329.png
NCAAF,330,Columbia,,,,,,,https://media.api-sports.io/american-football/teams/330.png
NCAAF,331,Kentucky Christian,,,,,,,https://media.api-sports.io/american-football/teams/331.png
NCAAF,332,Eastern New Mexico,,,,,,,https://media.api-sports.io/american-football/teams/332.png
NCAAF,334,Delta State,,,,,,,https://media.api-sports.io/american-football/teams/334.png
NCAAF,335,Keiser University,,,,,,,https://media.api-sports.io/american-football/teams/335.png
NCAAF,336,Warner,,,,,,,https://media.api-sports.io/american-football/teams/336.png
NCAAF,337,Western New Mexico,,,,,,,https://media.api-sports.io/american-football/teams/337.png
NCAAF,339,Southern Connecticut State,,,,,,,https://media.api-sports.io/american-football/teams/339.png
NCAAF,340,Edward Waters,,,,,,,https://media.api-sports.io/american-football/teams/340.png
NCAAF,342,Southwest Baptist,,,,,,,https://media.api-sports.io/american-football/teams/342.png
NCAAF,343,William Jewell College,,,,,,,https://media.api-sports.io/american-football/teams/343.png
NCAAF,344,McKendree,,,,,,,https://media.api-sports.io/american-football/teams/344.png
NCAAF,345,TBA,,,,,,,https://media.api-sports.io/american-football/teams/345.png
NCAAF,346,Virginia Union,,,,,,,https://media.api-sports.io/american-football/teams/346.png
NCAAF,347,Benedict College,,,,,,,https://media.api-sports.io/american-football/teams/347.png
NCAAF,348,Savannah State,,,,,,,https://media.api-sports.io/american-football/teams/348.png
NCAAF,349,Bentley,,,,,,,https://media.api-sports.io/american-football/teams/349.png
NCAAF,350,Westfield State,,,,,,,https://media.api-sports.io/american-football/teams/350.png
NCAAF,351,Western Connecticut State,,,,,,,https://media.api-sports.io/american-football/teams/351.png
NCAAF,353,St. Lawrence,,,,,,,https://media.api-sports.io/american-football/teams/353.png
NCAAF,354,SUNY Morrisville,,,,,,,https://media.api-sports.io/american-football/teams/354.png
NCAAF,355,Elizabeth City State,,,,,,,https://media.api-sports.io/american-football/teams/355.png
NCAAF,356,Dean College,,,,,,,https://media.api-sports.io/american-football/teams/356.png
NCAAF,357,Curry College,,,,,,,https://media.api-sports.io/american-football/teams/357.png
NCAAF,358,Husson,,,,,,,https://media.api-sports.io/american-football/teams/358.png
NCAAF,359,Alfred State College,,,,,,,https://media.api-sports.io/american-football/teams/359.png
NCAAF,360,University of New England,,,,,,,https://media.api-sports.io/american-football/teams/360.png
NCAAF,361,Gallaudet,,,,,,,https://media.api-sports.io/american-football/teams/361.png
NCAAF,362,Rose-Hulman,,,,,,,https://media.api-sports.io/american-football/teams/362.png
NCAAF,363,Albion,,,,,,,https://media.api-sports.io/american-football/teams/363.png
NCAAF,364,Walsh,,,,,,,https://media.api-sports.io/american-football/teams/364.png
NCAAF,365,Quincy,,,,,,,https://media.api-sports.io/american-football/teams/365.png
NCAAF,366,Findlay,,,,,,,https://media.api-sports.io/american-football/teams/366.png
NCAAF,367,Davenport,,,,,,,https://media.api-sports.io/american-football/teams/367.png
NCAAF,368,Northern Michigan,,,,,,,https://media.api-sports.io/american-football/teams/368.png
NCAAF,369,Shorter,,,,,,,https://media.api-sports.io/american-football/teams/369.png
NCAAF,371,Frostburg State,,,,,,,https://media.api-sports.io/american-football/teams/371.png
NCAAF,373,West Liberty,,,,,,,https://media.api-sports.io/american-football/teams/373.png
NCAAF,374,Hiram College,,,,,,,https://media.api-sports.io/american-football/teams/374.png
NCAAF,375,DePauw,,,,,,,https://media.api-sports.io/american-football/teams/375.png
NCAAF,378,Edinboro,,,,,,,https://media.api-sports.io/american-football/teams/378.png
NCAAF,379,Shepherd,,,,,,,https://media.api-sports.io/american-football/teams/379.png
NCAAF,380,California (PA),,,,,,,https://media.api-sports.io/american-football/teams/380.png
NCAAF,381,Mercyhurst,,,,,,,https://media.api-sports.io/american-football/teams/381.png
NCAAF,382,Kutztown,,,,,,,https://media.api-sports.io/american-football/teams/382.png
NCAAF,384,Slippery Rock,,,,,,,https://media.api-sports.io/american-football/teams/384.png
NCAAF,385,Seton Hill,,,,,,,https://media.api-sports.io/american-football/teams/385.png
NCAAF,386,East Stroudsburg,,,,,,,https://media.api-sports.io/american-football/teams/386.png
NCAAF,387,Gannon,,,,,,,https://media.api-sports.io/american-football/teams/387.png
NCAAF,388,West Chester,,,,,,,https://media.api-sports.io/american-football/teams/388.png
NCAAF,390,Central State (OH),,,,,,,https://media.api-sports.io/american-football/teams/390.png
NCAAF,392,Brockport,,,,,,,https://media.api-sports.io/american-football/teams/392.png
NCAAF,394,Coast Guard,,,,,,,https://media.api-sports.io/american-football/teams/394.png
NCAAF,395,FDU-Florham,,,,,,,https://media.api-sports.io/american-football/teams/395.png
NCAAF,396,Lebanon Valley,,,,,,,https://media.api-sports.io/american-football/teams/396.png
NCAAF,397,Fitchburg State,,,,,,,https://media.api-sports.io/american-football/teams/397.png
NCAAF,398,Worcester State College,,,,,,,https://media.api-sports.io/american-football/teams/398.png
NCAAF,399,Hilbert College,,,,,,,https://media.api-sports.io/american-football/teams/399.png
NCAAF,400,Willamette,,,,,,,https://media.api-sports.io/american-football/teams/400.png
NCAAF,404,Albright,,,,,,,https://media.api-sports.io/american-football/teams/404.png
NCAAF,405,Misericordia,,,,,,,https://media.api-sports.io/american-football/teams/405.png
NCAAF,406,Wilkes University,,,,,,,https://media.api-sports.io/american-football/teams/406.png
NCAAF,410,Bowdoin,,,,,,,https://media.api-sports.io/american-football/teams/410.png
NCAAF,411,Hamilton,,,,,,,https://media.api-sports.io/american-football/teams/411.png
NCAAF,412,Salisbury University,,,,,,,https://media.api-sports.io/american-football/teams/412.png
NCAAF,414,Endicott College,,,,,,,https://media.api-sports.io/american-football/teams/414.png
NCAAF,415,The College of New Jersey,,,,,,,https://media.api-sports.io/american-football/teams/415.png
NCAAF,416,Fayetteville State,,,,,,,https://media.api-sports.io/american-football/teams/416.png
NCAAF,417,Chowan,,,,,,,https://media.api-sports.io/american-football/teams/417.png
NCAAF,418,Johnson C Smith,,,,,,,https://media.api-sports.io/american-football/teams/418.png
NCAAF,420,Dubuque,,,,,,,https://media.api-sports.io/american-football/teams/420.png
NCAAF,421,Wartburg College,,,,,,,https://media.api-sports.io/american-football/teams/421.png
NCAAF,422,Luther,,,,,,,https://media.api-sports.io/american-football/teams/422.png
NCAAF,424,Juniata,,,,,,,https://media.api-sports.io/american-football/teams/424.png
NCAAF,425,Ithaca,,,,,,,https://media.api-sports.io/american-football/teams/425.png
NCAAF,426,Alfred,,,,,,,https://media.api-sports.io/american-football/teams/426.png
NCAAF,427,Hanover,,,,,,,https://media.api-sports.io/american-football/teams/427.png
NCAAF,428,Olivet College,,,,,,,https://media.api-sports.io/american-football/teams/428.png
NCAAF,429,Mass Maritime,,,,,,,https://media.api-sports.io/american-football/teams/429.png
NCAAF,430,Anna Maria College,,,,,,,https://media.api-sports.io/american-football/teams/430.png
NCAAF,431,Chicago,,,,,,,https://media.api-sports.io/american-football/teams/431.png
NCAAF,432,Beloit College,,,,,,,https://media.api-sports.io/american-football/teams/432.png
NCAAF,434,Grinnell,,,,,,,https://media.api-sports.io/american-football/teams/434.png
NCAAF,435,Cornell College (IA),,,,,,,https://media.api-sports.io/american-football/teams/435.png
NCAAF,436,Ripon,,,,,,,https://media.api-sports.io/american-football/teams/436.png
NCAAF,437,Hillsdale,,,,,,,https://media.api-sports.io/american-football/teams/437.png
